,id,age,dietary considerations,state,user agent
940,817,108,"['vegetarian', 'lactose intolerant']",Queensland,Mozilla/5.0 (Android 1.0; Mobile; rv:21.0) Gecko/21.0 Firefox/21.0
568,525,64,"['vegan', 'vegetarian']",Northern Territory,Mozilla/5.0 (Android 1.1; Mobile; rv:7.0) Gecko/7.0 Firefox/7.0
697,762,79,['vegan'],South Australia,Mozilla/5.0 (Android 1.5; Mobile; rv:11.0) Gecko/11.0 Firefox/11.0
949,484,109,['nut allergy'],Australian Capital Territory,Mozilla/5.0 (Android 1.6; Mobile; rv:65.0) Gecko/65.0 Firefox/65.0
285,648,30,[],Northern Territory,Mozilla/5.0 (Android 2.0.1; Mobile; rv:67.0) Gecko/67.0 Firefox/67.0
779,909,89,[],South Australia,Mozilla/5.0 (Android 2.1; Mobile; rv:63.0) Gecko/63.0 Firefox/63.0
31,36,5,['lactose intolerant'],Victoria,Mozilla/5.0 (Android 2.3.1; Mobile; rv:27.0) Gecko/27.0 Firefox/27.0
16,70,3,['nut allergy'],South Australia,Mozilla/5.0 (Android 2.3.1; Mobile; rv:42.0) Gecko/42.0 Firefox/42.0
283,321,30,['vegetarian'],New South Wales,Mozilla/5.0 (Android 2.3.1; Mobile; rv:57.0) Gecko/57.0 Firefox/57.0
923,598,106,['nut allergy'],Western Australia,Mozilla/5.0 (Android 2.3.4; Mobile; rv:35.0) Gecko/35.0 Firefox/35.0
965,289,112,['none'],Queensland,Mozilla/5.0 (Android 2.3.4; Mobile; rv:65.0) Gecko/65.0 Firefox/65.0
249,981,27,"['lactose intolerant', 'none']",Northern Territory,Mozilla/5.0 (Android 3.1; Mobile; rv:21.0) Gecko/21.0 Firefox/21.0
126,254,14,[],Western Australia,Mozilla/5.0 (Android 3.2.4; Mobile; rv:35.0) Gecko/35.0 Firefox/35.0
783,123,90,[],Northern Territory,Mozilla/5.0 (Android 3.2.5; Mobile; rv:14.0) Gecko/14.0 Firefox/14.0
721,738,82,"['celiac', 'nut allergy']",Tasmania,Mozilla/5.0 (Android 3.2.6; Mobile; rv:43.0) Gecko/43.0 Firefox/43.0
12,512,2,"['vegetarian', 'vegan']",Victoria,Mozilla/5.0 (Android 3.2.6; Mobile; rv:54.0) Gecko/54.0 Firefox/54.0
974,873,113,['none'],Western Australia,Mozilla/5.0 (Android 4.0; Mobile; rv:58.0) Gecko/58.0 Firefox/58.0
375,326,43,"['none', 'nut allergy']",Western Australia,Mozilla/5.0 (Android 4.0.1; Mobile; rv:20.0) Gecko/20.0 Firefox/20.0
612,766,69,['vegetarian'],Western Australia,Mozilla/5.0 (Android 4.0.2; Mobile; rv:14.0) Gecko/14.0 Firefox/14.0
551,342,62,[],Australian Capital Territory,Mozilla/5.0 (Android 4.0.3; Mobile; rv:50.0) Gecko/50.0 Firefox/50.0
115,58,13,['vegetarian'],Queensland,Mozilla/5.0 (Android 4.1.2; Mobile; rv:13.0) Gecko/13.0 Firefox/13.0
205,816,23,"['celiac', 'celiac']",Northern Territory,Mozilla/5.0 (Android 4.1.2; Mobile; rv:42.0) Gecko/42.0 Firefox/42.0
234,604,26,[],Queensland,Mozilla/5.0 (Android 4.2.2; Mobile; rv:53.0) Gecko/53.0 Firefox/53.0
497,979,55,['lactose intolerant'],Northern Territory,Mozilla/5.0 (Android 4.3; Mobile; rv:13.0) Gecko/13.0 Firefox/13.0
208,361,24,"['lactose intolerant', 'lactose intolerant']",Western Australia,Mozilla/5.0 (Android 4.3.1; Mobile; rv:5.0) Gecko/5.0 Firefox/5.0
98,378,11,"['vegetarian', 'vegan']",Northern Territory,Mozilla/5.0 (Android 4.4.2; Mobile; rv:10.0) Gecko/10.0 Firefox/10.0
821,913,95,"['vegetarian', 'nut allergy']",Tasmania,Mozilla/5.0 (Android 4.4.2; Mobile; rv:42.0) Gecko/42.0 Firefox/42.0
312,501,33,"['vegetarian', 'lactose intolerant']",Northern Territory,Mozilla/5.0 (Android 4.4.2; Mobile; rv:51.0) Gecko/51.0 Firefox/51.0
164,285,19,['vegan'],Victoria,Mozilla/5.0 (Android 5.0.1; Mobile; rv:39.0) Gecko/39.0 Firefox/39.0
139,758,15,"['vegetarian', 'none']",Western Australia,Mozilla/5.0 (Android 5.1.1; Mobile; rv:30.0) Gecko/30.0 Firefox/30.0
859,996,99,"['none', 'celiac']",South Australia,Mozilla/5.0 (Android 6.0; Mobile; rv:34.0) Gecko/34.0 Firefox/34.0
853,429,99,"['none', 'lactose intolerant']",Northern Territory,Mozilla/5.0 (Android 6.0.1; Mobile; rv:30.0) Gecko/30.0 Firefox/30.0
901,206,104,['none'],Tasmania,Mozilla/5.0 (Android 6.0.1; Mobile; rv:8.0) Gecko/8.0 Firefox/8.0
361,470,41,"['none', 'celiac']",Western Australia,Mozilla/5.0 (Android 7.1.2; Mobile; rv:18.0) Gecko/18.0 Firefox/18.0
645,731,73,['none'],Victoria,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/3.1)
170,991,19,[],Tasmania,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/4.0)
878,522,102,['none'],New South Wales,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/5.0)
